timestamp,open,high,low,close,volume
2019-06-19,113.3300,114.4500,113.0300,114.2800,2026653
2019-06-18,111.1700,113.4900,110.7200,113.3800,2572933
2019-06-17,110.9600,111.2500,110.0350,110.8100,1726693
2019-06-14,109.7200,111.4500,109.5100,110.7900,1790097
2019-06-13,111.9900,112.2500,109.6000,110.0300,1790158
2019-06-12,110.0900,111.7000,110.0900,111.4400,1907492
2019-06-11,110.5000,111.6600,109.5250,110.1600,1706288
2019-06-10,110.2800,110.7300,109.1000,110.2200,2730091
2019-06-07,109.0500,110.9000,109.0500,110.0600,1964788
2019-06-06,108.6800,110.3550,108.3850,108.8900,3123425
2019-06-05,108.3200,109.3600,108.3000,108.5000,3224165
2019-06-04,105.0800,108.2300,104.8600,108.1200,3712082
2019-06-03,101.5400,104.8700,101.5400,103.9500,3397121
2019-05-31,101.4900,102.2900,100.5600,101.0500,1642139
2019-05-30,101.3000,102.3500,101.2400,102.3300,1281944
2019-05-29,101.7500,102.0300,100.6700,101.1500,1883065
2019-05-28,102.6000,103.5700,101.4000,102.0200,4304050
2019-05-24,103.5000,104.4100,102.3000,102.4000,1266746
2019-05-23,102.7800,103.0600,101.9600,102.8900,1726231
2019-05-22,102.3700,103.4400,101.8400,102.9400,1059262
2019-05-21,102.7500,103.3000,102.2900,102.3800,1166705
2019-05-20,101.6400,102.4650,101.2400,102.2200,1665017
2019-05-17,101.7000,102.5400,101.3600,101.9700,2042107
2019-05-16,102.4000,103.8400,102.3000,102.9300,1929840
2019-05-15,100.7400,102.4300,100.6500,101.8400,1459540
2019-05-14,101.8900,102.3100,101.2100,101.2500,1711735
2019-05-13,100.5200,101.8400,100.3100,101.3500,1754392
2019-05-10,101.5800,102.5000,100.0400,102.2900,1885835
2019-05-09,101.1900,102.5700,100.9800,101.6700,1517130
2019-05-08,101.1400,102.2700,101.1400,101.8600,1367618
2019-05-07,102.6400,102.9200,100.5800,101.3700,1673400
2019-05-06,102.2600,103.5800,102.1900,103.3300,1301132
2019-05-03,102.5400,103.9700,102.0000,103.7500,1965192
2019-05-02,100.2650,103.1700,100.2650,103.1500,2003579
2019-05-01,102.1200,102.8000,101.0000,101.7900,2095185
2019-04-30,101.2400,102.2600,100.6300,101.8400,2356366
2019-04-29,102.7000,103.1700,100.8800,101.2600,3445053
2019-04-26,102.2400,103.3900,101.1600,103.3500,2035418
2019-04-25,100.7700,102.0100,100.0100,101.8300,1494169
2019-04-24,101.8900,102.2400,101.0300,101.1000,2196362
2019-04-23,100.2600,102.1450,99.6000,101.9700,2716850
2019-04-22,98.7200,100.1500,98.6400,100.1200,2058536
2019-04-18,98.5300,99.2500,97.1000,99.0300,3420396
2019-04-17,99.4100,99.9300,96.8900,97.9800,2142549
2019-04-16,101.9600,102.3300,99.0450,99.1700,2014183
2019-04-15,101.8600,102.0000,101.1700,101.2600,1680401
2019-04-12,101.5600,101.9300,100.9200,101.6700,1828996
2019-04-11,101.6500,101.7400,100.7500,101.0600,1062746
2019-04-10,101.7500,101.9800,101.2200,101.3300,1566706
2019-04-09,101.5900,101.9500,101.1850,101.4600,1657141
2019-04-08,102.2300,102.4950,101.7000,102.2300,1909542
2019-04-05,102.5100,103.3300,101.6750,102.1200,1865699
2019-04-04,102.1900,102.4000,100.6400,101.9800,2475509
2019-04-03,102.3300,102.6700,101.5800,102.1200,1769050
2019-04-02,101.7400,102.3800,101.5700,102.0400,1737870
2019-04-01,102.4100,102.4700,101.2900,101.5400,2659685
2019-03-29,99.8800,100.9400,99.7100,100.6700,2323048
2019-03-28,98.6300,99.5800,98.5900,99.3900,2288312
2019-03-27,98.4400,99.3100,98.1100,98.5200,1487310
2019-03-26,98.5400,99.3600,98.3400,98.8200,1795350
2019-03-25,97.4200,98.5600,97.2400,97.9300,1402362
2019-03-22,99.0100,99.3300,97.8800,97.9300,1489169
2019-03-21,98.4500,99.9100,98.2300,99.6400,1658858
2019-03-20,98.7500,99.2600,97.8100,98.5000,1592043
2019-03-19,98.0900,99.1500,98.0900,98.7200,1903377
2019-03-18,97.0000,97.8900,96.9900,97.7700,2144067
2019-03-15,96.2300,97.2300,95.7500,96.9100,2904430
2019-03-14,96.6500,96.8500,96.1300,96.2000,1751511
2019-03-13,96.1200,97.4300,95.8600,96.9300,2665086
2019-03-12,95.0000,95.9600,94.7600,95.7500,2433729
2019-03-11,92.6500,94.7700,92.5500,94.7300,2902107
2019-03-08,92.2600,92.4500,91.2100,92.4100,2412788
2019-03-07,93.8900,94.2900,92.2500,92.5500,4092523
2019-03-06,95.9000,95.9000,93.6200,94.1700,2113017
2019-03-05,96.1100,96.1750,95.3400,95.7800,2541004
2019-03-04,97.6500,97.9500,95.2700,95.8700,2749704
2019-03-01,94.9900,96.1500,94.5100,95.7500,2069346
2019-02-28,93.9600,94.6650,93.8400,94.2300,2253418
2019-02-27,93.3400,94.1600,93.1495,93.8000,1535147
2019-02-26,94.0200,94.4950,93.3362,93.4900,1829388
2019-02-25,95.0000,95.1800,94.2400,94.3900,1295510
2019-02-22,93.7600,94.6600,93.7600,94.6100,1852187
2019-02-21,94.2700,94.2700,93.1300,93.4700,1903723
2019-02-20,94.9100,95.0700,93.6700,94.3900,2165713
2019-02-19,94.7500,95.2900,94.5566,94.9100,2251444
2019-02-15,93.9200,95.5500,92.9200,95.3700,3308197
2019-02-14,89.0100,93.5700,88.6500,93.2600,5438161
2019-02-13,87.5600,88.8700,87.5600,88.2500,3698714
2019-02-12,86.9200,87.5900,86.6400,87.5100,2626428
2019-02-11,86.9100,87.1972,85.8600,86.2700,3361139
2019-02-08,85.7400,86.8300,85.3900,86.8300,2082666
2019-02-07,87.2500,87.2600,85.6900,86.2100,1594385
2019-02-06,87.0700,87.6400,86.6100,87.5800,1968899
2019-02-05,87.3300,88.0500,86.8200,87.3700,3263151
2019-02-04,87.2500,87.3800,86.6100,86.9700,1976959
2019-02-01,86.5500,87.3800,85.8800,87.1400,2111911
2019-01-31,85.0600,86.3000,84.6400,86.1600,2620027
2019-01-30,84.3500,85.8300,84.3500,85.0900,2097271
2019-01-29,83.6500,84.6000,83.0600,84.4100,1842134
2019-01-28,83.9200,83.9600,82.9600,83.6500,2471773
