timestamp,open,high,low,close,volume
2019-06-19,71.89,72.73,71.89,72.65,1916665.0
2019-06-18,70.8,72.22,70.57,71.91,2350398.0
2019-06-17,70.25,70.6,69.89,70.29,1149172.0
2019-06-14,70.31,70.45,69.74,69.97,1602711.0
2019-06-13,70.56,70.71,69.89,70.3,1886929.0
2019-06-12,70.08,70.29,68.93,70.29,1546794.0
2019-06-11,72.25,72.6,69.81,70.09,1748246.0
2019-06-10,69.68,70.55,69.36,70.29,1477113.0
2019-06-07,69.7,70.215,69.33,69.52,1547509.0
2019-06-06,68.52,69.675,68.52,69.16,2468975.0
2019-06-05,68.61,69.01,67.89,68.35,2289217.0
2019-06-04,67.66,68.0,66.41,67.95,4402784.0
2019-06-03,67.04,68.1,66.82,66.99,2560644.0
2019-05-31,66.24,67.56,66.07,67.05,2829317.0
2019-05-30,67.59,67.9,66.73,66.89,2947887.0
2019-05-29,66.59,67.99,66.59,67.3,3722106.0
2019-05-28,68.43,68.86,66.955,67.08,2984703.0
2019-05-24,68.14,69.89,68.085,68.36,3852867.0
2019-05-23,67.18,67.85,66.03,67.7,5358753.0
2019-05-22,68.17,68.64,67.51,67.97,4985412.0
2019-05-21,69.37,70.44,68.25,68.32,3928214.0
2019-05-20,68.66,69.97,68.64,68.93,4029685.0
2019-05-17,68.44,69.87,68.19,69.11,3935714.0
2019-05-16,67.6,69.42,67.6,69.3,4567668.0
2019-05-15,67.36,69.9,66.24,67.64,14523763.0
2019-05-14,74.43,76.67,74.304,76.01,2557726.0
2019-05-13,75.75,75.91,73.23,73.84,3547282.0
2019-05-10,76.64,77.14,74.09,77.1,2849795.0
2019-05-09,75.67,77.055,74.85,77.0,1717541.0
2019-05-08,76.78,77.3,76.13,76.61,2243580.0
2019-05-07,78.59,78.77,76.03,76.67,1732161.0
2019-05-06,77.62,79.41,77.21,79.35,1624324.0
2019-05-03,78.58,79.56,78.58,79.29,1303198.0
2019-05-02,77.41,78.34,77.1453,78.2,946764.0
2019-05-01,78.49,78.92,77.28,77.47,1078572.0
2019-04-30,77.44,78.59,77.38,78.5,1726239.0
2019-04-29,77.47,78.44,77.32,77.33,2177700.0
2019-04-26,76.98,77.46,76.3,77.42,1608922.0
2019-04-25,75.26,77.04,74.94,76.72,1481436.0
2019-04-24,75.84,76.63,75.4306,75.79,1942651.0
2019-04-23,74.28,76.8,73.76,75.56,4607107.0
2019-04-22,75.93,76.72,75.13,75.57,2016043.0
2019-04-18,75.73,76.54,75.31,76.17,2874195.0
2019-04-17,78.15,78.32,74.46,75.43,4471971.0
2019-04-16,80.82,80.96,77.19,77.55,3441597.0
2019-04-15,81.0,81.13,79.905,80.4,1627268.0
2019-04-12,81.43,82.06,80.9,80.98,1249295.0
2019-04-11,81.88,81.92,80.89,81.08,1071479.0
2019-04-10,81.45,82.24,81.45,81.68,982886.0
2019-04-09,81.56,81.72,81.27,81.42,1254742.0
2019-04-08,81.57,81.71,80.585,81.69,783350.0
2019-04-05,81.19,81.92,81.05,81.47,1502875.0
2019-04-04,81.84,82.05,80.44,80.83,2180112.0
2019-04-03,81.54,82.02,81.46,81.94,2141025.0
2019-04-02,81.71,81.76,81.03,81.14,1203037.0
2019-04-01,80.96,81.77,80.96,81.56,1522681.0
2019-03-29,80.16,80.67,79.95,80.38,1585137.0
2019-03-28,79.39,79.79,78.71,79.7,1615615.0
2019-03-27,80.5,80.77,78.885,79.0,1446133.0
2019-03-26,80.39,81.04,80.13,80.65,1428157.0
2019-03-25,79.09,79.8554,78.66,79.52,923006.0
2019-03-22,81.54,81.675,78.97,78.99,1435825.0
2019-03-21,80.55,82.27,80.55,82.0,986602.0
2019-03-20,81.28,81.445,80.25,80.92,1768328.0
2019-03-19,81.27,81.77,81.03,81.2,1172573.0
2019-03-18,81.1,81.29,80.49,80.97,1617696.0
2019-03-15,80.86,81.43,80.825,81.1,1999067.0
2019-03-14,80.06,80.67,80.06,80.61,1268470.0
2019-03-13,80.22,80.74,80.02,80.13,1529133.0
2019-03-12,79.58,80.13,79.16,79.93,1532269.0
2019-03-11,78.28,79.47,78.26,79.3,1210929.0
2019-03-08,78.18,78.24,77.4,77.98,1483484.0
2019-03-07,78.69,79.1,78.01,78.73,1818134.0
2019-03-06,79.82,79.98,78.73,78.75,1750488.0
2019-03-05,80.02,80.03,79.36,79.74,1405644.0
2019-03-04,81.5,81.76,79.53,80.13,3204122.0
2019-03-01,80.0,81.445,80.0,81.24,1625899.0
2019-02-28,79.18,79.75,78.89,79.44,1759103.0
2019-02-27,78.25,79.55,78.25,79.42,1254403.0
2019-02-26,79.21,79.27,78.42,78.55,1992595.0
2019-02-25,78.9,79.84,78.85,79.34,1878041.0
2019-02-22,78.16,78.46,77.83,78.42,2797669.0
2019-02-21,77.67,78.58,76.5,77.89,3570828.0
2019-02-20,77.53,78.795,77.33,78.56,2076523.0
2019-02-19,78.0,78.32,77.41,77.52,2967968.0
2019-02-15,77.63,78.31,77.47,78.3,1919672.0
2019-02-14,77.0,77.28,76.52,77.02,1618269.0
2019-02-13,77.37,77.49,76.7441,77.25,1376358.0
2019-02-12,76.8,77.25,76.43,77.07,2045501.0
2019-02-11,76.0,76.39,75.7475,76.08,1018208.0
2019-02-08,75.07,75.81,74.76,75.8,1318051.0
2019-02-07,75.72,76.12,74.87,75.33,1660637.0
2019-02-06,76.11,76.69,76.0,76.3,1504860.0
2019-02-05,75.8,76.51,75.79,76.31,1593537.0
2019-02-04,76.18,76.23,75.32,76.03,2245893.0
2019-02-01,76.16,76.59,75.62,76.04,1343915.0
2019-01-31,75.21,76.31,74.67,76.05,2951321.0
2019-01-30,73.74,75.59,73.48,75.44,1679472.0
2019-01-29,73.7,74.06,73.2,73.56,1684521.0
